,RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents,income_to_debt,late_payment_flag,"age_group_(30, 40]","age_group_(40, 50]","age_group_(50, 60]","age_group_(60, 100]",SeriousDlqin2yrs,default_probability,risk_score
31590,0.0,46,0,0.002997003,1000.0,8,0,0,0,0.0,997.011952188256,0,False,True,False,False,0,0.0,0.0
110197,0.346666667,64,0,5.0,5400.0,9,0,2,0,0.0,900.0,0,False,False,False,True,0,0.09,9.0
73900,0.037938935,54,0,0.376060872,6833.0,10,0,2,0,0.0,4965.623352162287,0,False,False,True,False,0,0.0,0.0
137446,0.50356802,38,0,0.347721297,9127.0,5,0,1,0,4.0,6772.171679943409,0,True,False,False,False,0,0.06,6.0
91899,0.37159904,55,0,0.382799634,5464.0,17,0,0,0,1.0,3951.403996394173,0,False,False,True,False,0,0.01,1.0
25995,0.9999999,44,0,0.376062394,10000.0,8,0,2,0,2.0,7267.112337058751,0,False,True,False,False,0,0.04,4.0
138275,1.016496243,48,2,3.274362819,666.0,4,0,1,0,3.0,155.81269728427327,1,False,True,False,False,1,0.26,26.0
127997,1.279069767,25,1,0.178555202,2200.0,3,0,0,0,0.0,1866.6923672871794,1,False,False,False,False,0,0.37,37.0
54218,0.0,33,0,0.591363455,2500.0,9,0,1,0,0.0,1570.9798991205312,0,True,False,False,False,1,0.02,2.0
141705,0.029447313,50,0,0.207392428,8900.0,9,0,1,0,3.0,7371.257093886628,0,False,True,False,False,0,0.0,0.0
21608,0.165583442,31,0,5.0,1.0,2,0,0,0,1.0,0.16666666666666666,0,True,False,False,False,0,0.02,2.0
19221,0.012688913,65,1,5.0,5400.0,14,0,3,0,0.0,900.0,1,False,False,False,True,1,0.02,2.0
18431,0.587639507,38,0,0.247597078,2600.0,5,0,0,0,2.0,2084.0061634065482,0,True,False,False,False,0,0.02,2.0
75438,0.712657469,36,0,0.217106984,3822.0,8,0,0,0,0.0,3140.2333979212463,0,True,False,False,False,0,0.02,2.0
85781,0.046919796,50,0,0.251479043,12000.0,14,0,2,0,1.0,9588.654374294623,0,False,True,False,False,0,0.0,0.0
8401,0.9999999,36,0,0.102965678,3000.0,1,0,0,0,2.0,2719.9395773038736,0,True,False,False,False,0,0.03,3.0
103633,0.0,48,0,0.268610502,7750.0,9,0,1,0,0.0,6109.046068735761,0,False,True,False,False,0,0.0,0.0
63748,0.0,28,0,0.357238307,2244.0,3,0,1,0,0.0,1653.3574011479768,0,False,False,False,False,0,0.0,0.0
19918,0.098545073,69,0,5.0,5400.0,3,0,0,0,0.0,900.0,0,False,False,False,True,0,0.0,0.0
135112,0.843352179,40,0,0.76619628,6235.0,7,0,2,0,2.0,3530.1852181457434,0,True,False,False,False,0,0.07,7.0
41782,0.025434672,48,0,0.212188191,9500.0,3,0,1,0,1.0,7837.066942685634,0,False,True,False,False,0,0.0,0.0
125128,0.63048136,82,2,0.696868754,1500.0,6,0,1,0,0.0,883.9811543845541,1,False,False,False,True,0,0.2,20.0
60767,0.003393379,42,0,0.027469625,13250.0,6,0,0,0,4.0,12895.758353927009,0,False,True,False,False,0,0.01,1.0
120733,0.854145854,47,0,0.094952524,2000.0,2,0,0,0,1.0,1826.5632127078416,0,False,True,False,False,0,0.07,7.0
93096,0.927850299,61,2,5.0,5400.0,12,0,2,0,1.0,900.0,1,False,False,False,True,0,0.1,10.0
16520,0.135943203,75,0,0.096466094,2093.0,6,0,0,0,0.0,1908.8597554025232,0,False,False,False,True,0,0.0,0.0
73921,0.262923833,60,0,0.526592071,7238.0,10,0,2,0,0.0,4741.279702349509,0,False,False,True,False,0,0.02,2.0
61183,0.9999999,61,0,0.291179596,940.0,2,0,0,0,0.0,728.016461003617,0,False,False,False,True,0,0.0195,2.0
18008,0.567086804,60,0,5.0,5400.0,14,0,1,0,0.0,900.0,0,False,False,True,False,0,0.0,0.0
74161,0.523674747,61,0,0.597320241,9776.0,16,0,4,0,1.0,6120.250497720951,0,False,False,False,True,0,0.02,2.0
75829,0.075530816,30,0,0.00896801,7470.0,2,0,0,0,0.0,7403.604401689603,0,False,False,False,False,0,0.0,0.0
140847,0.329595209,61,0,0.155415811,15583.0,12,0,2,0,0.0,13486.919472318006,0,False,False,False,True,0,0.0,0.0
95050,0.970461426,44,3,0.413594379,12666.0,8,0,2,1,4.0,8960.13749641544,1,False,True,False,False,0,0.25,25.0
144270,0.050555835,50,1,0.062963879,8083.0,10,0,1,0,0.0,7604.2094747417095,1,False,True,False,False,0,0.12,12.0
124856,0.009249769,84,0,5.0,5400.0,8,0,2,0,0.0,900.0,0,False,False,False,True,0,0.0,0.0
146370,0.029107245,60,0,5.0,5400.0,11,0,1,0,0.0,900.0,0,False,False,True,False,0,0.01,1.0
133329,0.793567857,43,2,5.0,0.0,14,0,3,0,1.0,0.0,1,False,True,False,False,0,0.13,13.0
12978,0.351247708,54,0,5.0,5400.0,18,0,2,0,2.0,900.0,0,False,False,True,False,0,0.03,3.0
123198,0.0,42,0,0.002104709,3800.0,3,0,0,0,2.0,3792.018903685244,0,False,True,False,False,0,0.07,7.0
10512,0.0,63,0,0.436344611,8600.0,6,0,1,0,0.0,5987.42107857569,0,False,False,False,True,0,0.01,1.0
39618,0.327817654,38,0,0.446947719,16200.0,17,0,3,0,2.0,11195.981573678406,0,True,False,False,False,0,0.09,9.0
67817,0.0,58,0,5.0,5400.0,7,0,2,0,0.0,900.0,0,False,False,True,False,0,0.0,0.0
58525,0.058992071,55,0,0.280830671,12519.0,11,0,2,0,0.0,9774.125716575692,0,False,False,True,False,0,0.0,0.0
33181,0.9999999,46,0,0.391768039,6000.0,4,0,1,0,1.0,4311.063217338331,0,False,True,False,False,0,0.08,8.0
33220,0.037245123,57,0,0.382179758,9000.0,4,0,2,0,0.0,6511.454062258088,0,False,False,True,False,0,0.02,2.0
68818,0.047577477,30,0,0.41962775,6500.0,10,0,2,0,0.0,4578.66507610886,0,False,False,False,False,0,0.01,1.0
142530,0.411171434,42,0,0.550064277,7000.0,10,0,2,0,2.0,4515.941760523521,0,False,True,False,False,0,0.0,0.0
4215,0.0,27,0,0.152602176,3400.0,4,0,0,0,1.0,2949.8469383420634,0,False,False,False,False,0,0.0,0.0
64136,0.482505831,47,1,0.253898441,2500.0,6,2,0,0,1.0,1993.7818871568402,1,False,True,False,False,0,0.37,37.0
72041,0.820907955,49,1,0.584204413,1721.0,5,0,0,0,0.0,1086.3497070690207,1,False,True,False,False,1,0.17,17.0
28030,0.042021288,53,0,0.583190395,2914.0,18,0,1,0,0.0,1840.5872150329715,0,False,False,True,False,0,0.01,1.0
91939,0.0,46,0,0.540055249,11583.0,11,0,4,0,2.0,7521.15874253288,0,False,True,False,False,0,0.02,2.0
120645,0.464621972,42,0,0.485967602,15000.0,23,0,1,0,0.0,10094.432731784416,0,False,True,False,False,0,0.04,4.0
124395,0.021805748,73,0,0.03988604,2456.0,6,0,0,0,0.0,2361.797260015145,0,False,False,False,True,0,0.0,0.0
61656,0.214938474,45,0,0.311370337,7800.0,5,0,2,0,5.0,5947.976540207497,0,False,True,False,False,0,0.02,2.0
28466,0.208015414,44,0,5.0,5400.0,11,0,2,0,0.0,900.0,0,False,True,False,False,0,0.0,0.0
107274,0.097833467,80,0,5.0,5400.0,8,0,2,0,0.0,900.0,0,False,False,False,True,0,0.0,0.0
95227,0.079022657,64,0,0.508282249,7666.0,15,0,2,0,0.0,5082.603077164505,0,False,False,False,True,0,0.04,4.0
107822,0.9999999,60,1,0.096317971,4100.0,1,0,0,0,0.0,3739.79092603965,1,False,False,True,False,0,0.29,29.0
102887,0.265309434,62,0,0.447967373,7600.0,14,0,2,0,1.0,5248.73705148051,0,False,False,False,True,0,0.0,0.0
34443,0.9999999,28,0,0.160160525,2740.0,1,2,0,0,0.0,2361.742139088899,0,False,False,False,False,0,0.54,54.0
85994,0.023072336,79,0,0.015538291,900.0,8,0,0,0,0.0,886.229508011727,0,False,False,False,True,0,0.0,0.0
61404,0.242253123,69,0,0.120179031,10500.0,11,0,1,0,0.0,9373.501654129786,0,False,False,False,True,0,0.0,0.0
65678,0.9999999,64,2,0.009303539,11500.0,0,0,0,0,1.0,11393.995518329397,1,False,False,False,True,0,0.25,25.0
82255,0.644364742,40,0,0.343882303,9447.0,13,0,1,0,1.0,7029.633457417439,0,True,False,False,False,0,0.07,7.0
75678,0.026134168,56,0,0.147430072,9902.0,8,0,1,0,0.0,8629.719790017845,0,False,False,True,False,0,0.0,0.0
62140,0.9999999,52,0,0.0,5616.0,1,0,0,0,1.0,5616.0,0,False,False,True,False,0,0.08,8.0
138629,0.957100422,49,1,1.427800998,7416.0,17,0,9,1,3.0,3054.616093373894,1,False,True,False,False,1,0.66,66.0
14755,0.301621112,45,0,0.506721475,9000.0,11,0,2,0,4.0,5973.2340378303825,0,False,True,False,False,0,0.03,3.0
116504,0.106906747,62,0,5.0,0.0,5,0,2,0,0.0,0.0,0,False,False,False,True,0,0.04,4.0
5264,0.28611898,38,0,5.0,5400.0,6,0,1,0,0.0,900.0,0,True,False,False,False,0,0.0,0.0
108456,0.277517114,45,0,0.177758319,2283.0,3,0,0,0,0.0,1938.4282523586232,0,False,True,False,False,0,0.01,1.0
12947,0.831974713,48,1,0.842859523,6000.0,8,0,2,0,2.0,3255.8097484460295,1,False,True,False,False,0,0.23,23.0
103831,0.257809019,36,0,0.080768803,9000.0,4,0,0,0,2.0,8327.405431224313,0,True,False,False,False,0,0.04,4.0
37413,0.249772137,48,0,5.0,5400.0,14,0,2,0,1.0,900.0,0,False,True,False,False,0,0.01,1.0
112659,0.810021588,55,1,0.135413096,5833.0,4,0,0,1,0.0,5137.337256853342,1,False,False,True,False,0,0.14,14.0
144662,0.415504272,32,0,5.0,5400.0,9,0,1,0,3.0,900.0,0,True,False,False,False,0,0.03,3.0
59011,0.632867632,62,0,0.605239476,10000.0,9,0,2,0,0.0,6229.600099866969,0,False,False,False,True,0,0.09,9.0
120059,0.009087968,44,0,5.0,0.0,4,0,0,0,0.0,0.0,0,False,True,False,False,0,0.0,0.0
92065,0.059227348,60,0,0.516026658,3150.0,15,0,1,0,0.0,2077.799874677402,0,False,False,True,False,0,0.01,1.0
84443,0.369964019,60,0,0.608565239,6000.0,16,0,2,0,2.0,3730.0321146626493,0,False,False,True,False,0,0.03,3.0
49908,0.024621377,58,1,5.0,5400.0,6,0,1,0,0.0,900.0,1,False,False,True,False,0,0.01,1.0
13671,0.06764682,33,0,5.0,5400.0,7,0,1,0,0.0,900.0,0,True,False,False,False,0,0.0,0.0
119858,0.0,49,1,0.289119569,2600.0,8,0,0,0,1.0,2016.8804062270815,1,False,True,False,False,0,0.12,12.0
120785,0.024160709,55,0,5.0,5400.0,6,0,2,0,0.0,900.0,0,False,False,True,False,0,0.0,0.0
124682,0.091992641,26,0,0.039267016,4583.0,3,0,0,0,0.0,4409.838789687905,0,False,False,False,False,0,0.01,1.0
6014,0.008796498,50,1,0.443690939,8994.0,21,0,2,0,0.0,6229.865241261308,1,False,True,False,False,0,0.07,7.0
14461,0.182053288,61,0,0.465955208,6652.0,15,0,2,0,0.0,4537.655696230522,0,False,False,False,True,0,0.04,4.0
101218,0.630830989,38,0,0.227710843,7469.0,6,0,0,0,0.0,6083.680080359117,0,True,False,False,False,0,0.05,5.0
54536,0.003556492,56,0,0.287786533,5583.0,9,0,1,0,3.0,4335.345848813904,0,False,False,True,False,0,0.0,0.0
55187,0.004194401,57,0,0.196938353,4833.0,5,0,1,0,1.0,4037.801936822055,0,False,False,True,False,0,0.01,1.0
71682,0.044903624,43,0,0.563226878,5416.0,12,0,2,0,1.0,3464.6282482868105,0,False,True,False,False,0,0.01,1.0
35005,0.684663067,50,0,0.391875888,8443.0,5,0,2,0,3.0,6065.914405724658,0,False,True,False,False,0,0.04,4.0
147771,0.007752258,79,0,0.218237705,3903.0,9,0,1,0,1.0,3203.8082420047904,0,False,False,False,True,0,0.01,1.0
96117,0.057262969,29,0,0.078584283,5000.0,4,0,0,0,0.0,4635.706340994401,0,False,False,False,False,0,0.01,1.0
10673,0.023104675,66,0,0.312531404,9950.0,14,0,2,0,0.0,7580.770996927705,0,False,False,False,True,0,0.0,0.0
112802,0.0,47,0,0.199344075,14025.0,9,0,1,0,4.0,11693.891930053518,0,False,True,False,False,0,0.01,1.0
123712,0.018165153,53,0,5.0,5400.0,7,0,0,0,0.0,900.0,0,False,False,True,False,0,0.04,4.0
42870,0.046883007,83,0,0.40960727,3080.0,15,0,1,0,1.0,2185.0057569581068,0,False,False,False,True,0,0.0,0.0
112583,0.0,55,0,5.0,5400.0,10,0,0,0,0.0,900.0,0,False,False,True,False,0,0.07,7.0
69701,0.137091974,65,0,0.318680051,8666.0,8,0,1,0,1.0,6571.722984228264,0,False,False,False,True,0,0.0,0.0
109694,1.073202332,43,3,0.399075638,11250.0,10,1,1,1,3.0,8041.023440363844,1,False,True,False,False,1,0.54,54.0
9812,0.372695987,61,0,5.0,5400.0,15,0,4,0,0.0,900.0,0,False,False,False,True,0,0.02,2.0
97889,0.053322798,53,0,0.232643437,7633.0,5,0,1,0,3.0,6192.382785550011,0,False,False,True,False,0,0.01,1.0
116798,0.909613622,64,0,5.0,5400.0,7,0,2,0,0.0,900.0,0,False,False,False,True,0,0.01,1.0
102465,0.038128777,87,0,5.0,5400.0,7,0,0,0,0.0,900.0,0,False,False,False,True,0,0.07,7.0
67842,0.237431114,53,3,0.167647481,6966.0,16,0,1,1,2.0,5965.8416716954325,1,False,False,True,False,0,0.2,20.0
43994,0.011045814,47,0,0.295058555,3500.0,5,0,1,0,2.0,2702.5805022383715,0,False,True,False,False,0,0.01,1.0
110628,0.14531314,26,1,0.068309071,6250.0,5,0,0,0,1.0,5850.366873838891,1,False,False,False,False,0,0.02,2.0
142580,0.394379259,47,0,0.842421011,7500.0,11,0,3,0,0.0,4070.730823857284,0,False,True,False,False,0,0.06,6.0
35418,0.094097535,57,0,5.0,0.0,18,0,3,0,0.0,0.0,0,False,False,True,False,0,0.02,2.0
91928,0.732204727,48,0,0.400867761,5300.0,6,0,1,0,1.0,3783.369242659015,0,False,True,False,False,0,0.06,6.0
59744,0.119281462,71,0,0.329426591,7934.0,6,0,2,0,0.0,5967.986539243218,0,False,False,False,True,0,0.0,0.0
36205,0.021575514,45,0,0.46299447,4701.0,5,0,1,0,3.0,3213.2725696495627,0,False,True,False,False,0,0.0,0.0
33119,0.694702925,45,0,0.269879059,10500.0,5,0,1,0,1.0,8268.503937901382,0,False,True,False,False,0,0.02,2.0
93796,0.025024014,44,0,0.397860714,8600.0,8,0,3,0,0.0,6152.258171267269,0,False,True,False,False,0,0.02,2.0
35522,0.9999999,46,0,5.0,5400.0,2,0,2,0,0.0,900.0,0,False,True,False,False,0,0.013333333333333332,1.0
42611,0.0,57,0,0.0,9000.0,3,0,0,0,0.0,9000.0,0,False,False,True,False,0,0.02,2.0
47194,0.180558738,70,0,0.474065742,8000.0,8,0,1,0,0.0,5427.166354972518,0,False,False,False,True,0,0.02,2.0
133855,0.220807155,58,2,5.0,0.0,14,0,0,1,1.0,0.0,1,False,False,True,False,0,0.15,15.0
51230,0.011638885,63,0,0.138828063,11416.0,15,0,1,0,0.0,10024.340258991317,0,False,False,False,True,0,0.0,0.0
141735,0.599618425,38,1,0.185762847,5000.0,10,0,0,1,1.0,4216.694773874966,1,True,False,False,False,1,0.23,23.0
145748,0.023727109,43,0,0.036507531,3916.0,3,0,0,0,0.0,3778.0719221807562,0,False,True,False,False,0,0.02,2.0
115867,0.297512465,50,0,0.522089649,3100.0,8,0,1,0,2.0,2036.6737281451678,0,False,True,False,False,0,0.02,2.0
53666,0.000529766,78,0,0.558476395,1863.0,7,0,1,0,0.0,1195.398278714385,0,False,False,False,True,0,0.01,1.0
95474,0.0,67,0,0.220899786,4200.0,13,0,1,0,4.0,3440.0857860417386,0,False,False,False,True,0,0.05,5.0
123338,0.0,49,1,0.356085368,5200.0,5,2,0,3,3.0,3834.5668515464727,1,False,True,False,False,1,0.7,70.0
42953,0.340612367,34,0,0.364885973,3200.0,8,0,1,0,1.0,2344.518196612751,0,True,False,False,False,0,0.08,8.0
116263,0.805889965,59,0,5.0,5400.0,15,1,1,0,0.0,900.0,0,False,False,True,False,0,0.19,19.0
3016,0.444104655,43,0,0.310667301,6308.0,5,0,2,0,2.0,4812.8155750793385,0,False,True,False,False,0,0.0,0.0
140946,0.083968443,49,0,0.25439178,12067.0,10,0,2,0,2.0,9619.801558329727,0,False,True,False,False,0,0.0,0.0
79345,0.185378272,62,0,0.371488878,6158.0,12,0,2,0,0.0,4490.010891652305,0,False,False,False,True,0,0.0,0.0
91858,0.411469367,61,0,5.0,5400.0,12,0,2,0,0.0,900.0,0,False,False,False,True,0,0.0,0.0
96889,1.823920266,46,1,0.193437619,2620.0,24,1,0,0,3.0,2195.3388751021093,1,False,True,False,False,1,0.59,59.0
104469,0.431111335,76,0,0.229185318,3350.0,4,0,0,0,0.0,2725.3823739538025,0,False,False,False,True,0,0.0,0.0
14203,0.085350431,61,0,5.0,5400.0,10,0,2,0,0.0,900.0,0,False,False,False,True,0,0.02,2.0
100626,0.850589777,30,1,0.2062581,5400.0,3,0,0,0,0.0,4476.653876977075,1,False,False,False,False,0,0.16,16.0
44691,0.016819664,47,0,0.453957232,12672.0,8,0,2,0,0.0,8715.52458428846,0,False,True,False,False,0,0.02,2.0
130059,0.038877101,59,0,0.03785,39999.0,6,0,2,0,0.0,38540.25148142796,0,False,False,True,False,0,0.01,1.0
67636,0.858142065,35,1,0.747417527,3000.0,11,0,1,0,1.0,1716.819222450205,1,True,False,False,False,0,0.19,19.0
112693,0.042443097,67,0,0.404238305,2500.0,5,0,1,0,0.0,1780.3246009586671,0,False,False,False,True,0,0.0,0.0
36314,0.820876746,54,0,0.410346389,8833.0,8,0,1,0,0.0,6263.000401102173,0,False,False,True,False,0,0.06,6.0
132221,0.017186821,79,0,0.499464477,2800.0,8,0,1,0,0.0,1867.3333332990987,0,False,False,False,True,0,0.0,0.0
124543,0.204625119,58,0,0.182761676,7900.0,15,0,1,0,0.0,6679.283037574512,0,False,False,True,False,0,0.05,5.0
94646,0.0299988,47,0,5.0,5400.0,8,0,1,0,2.0,900.0,0,False,True,False,False,0,0.0,0.0
55575,0.40791688,81,0,0.371791045,6699.0,13,0,1,0,0.0,4883.396800421598,0,False,False,False,True,0,0.04,4.0
140381,0.100974163,59,0,0.479657978,7250.0,11,0,2,0,0.0,4899.780968166415,0,False,False,True,False,0,0.0,0.0
13656,0.389515783,45,0,5.0,5400.0,8,0,1,0,0.0,900.0,0,False,True,False,False,0,0.0,0.0
34190,0.151169766,26,0,5.0,5400.0,2,0,0,0,0.0,900.0,0,False,False,False,False,0,0.0,0.0
128958,0.162165839,33,0,0.613936592,9083.0,12,0,6,0,1.0,5627.854306682701,0,True,False,False,False,0,0.06,6.0
8277,0.100999954,40,0,0.492760922,7942.0,10,0,2,0,0.0,5320.342918247963,0,True,False,False,False,0,0.04,4.0
145002,0.0,80,0,0.0,100.0,3,0,0,0,0.0,100.0,0,False,False,False,True,0,0.0,0.0
113406,0.203879612,49,1,0.01926113,3166.0,1,0,0,0,0.0,3106.1716245374723,1,False,True,False,False,0,0.09,9.0
113197,0.127468133,62,0,5.0,5400.0,3,0,0,0,0.0,900.0,0,False,False,False,True,0,0.0,0.0
146937,0.277957141,61,0,0.713689007,5266.0,18,0,1,0,0.0,3072.9029470864775,0,False,False,False,True,0,0.02,2.0
64145,0.020610714,62,0,5.0,5400.0,9,0,0,0,0.0,900.0,0,False,False,False,True,0,0.0,0.0
30494,0.058464444,67,0,5.0,5400.0,5,0,0,0,0.0,900.0,0,False,False,False,True,0,0.0,0.0
56330,0.0,61,0,5.0,5400.0,2,0,0,0,0.0,900.0,0,False,False,False,True,0,0.0,0.0
108645,0.02728166,42,0,5.0,5400.0,4,0,0,0,0.0,900.0,0,False,True,False,False,0,0.0,0.0
99465,0.9999999,26,0,0.30487297,2400.0,5,0,0,0,1.0,1839.2594951215826,0,False,False,False,False,0,0.03,3.0
39918,0.974309124,42,0,0.125281835,10200.0,6,0,0,0,0.0,9064.395854217268,0,False,True,False,False,0,0.03,3.0
125013,0.996005326,49,0,0.256916996,4300.0,2,2,1,1,0.0,3421.0691825190343,0,False,True,False,False,0,0.73,73.0
11404,0.900016664,31,0,0.388383046,3184.0,5,0,1,0,4.0,2293.31524118885,0,True,False,False,False,0,0.04,4.0
5752,0.001666556,52,0,0.138718174,9111.0,2,0,1,0,1.0,8001.101772175632,0,False,False,True,False,0,0.02,2.0
29112,0.260567717,47,0,0.106366658,11732.0,12,0,2,1,2.0,10604.079502186156,0,False,True,False,False,0,0.13,13.0
17245,0.030442753,32,0,0.246460283,8333.0,5,0,1,0,0.0,6685.331344809484,0,True,False,False,False,0,0.0,0.0
92442,0.0,44,0,0.590437377,23800.0,16,0,8,0,2.0,14964.437043659846,0,False,True,False,False,1,0.05,5.0
95763,0.028528766,73,0,0.318087318,4809.0,8,0,1,0,1.0,3648.468454500372,0,False,False,False,True,0,0.0,0.0
76235,0.244062937,48,2,0.555577338,5100.0,20,0,1,0,0.0,3278.5255193785806,1,False,True,False,False,0,0.1,10.0
140115,0.405868554,45,1,0.50858509,4600.0,13,0,1,0,2.0,3049.2148109457985,1,False,True,False,False,1,0.06,6.0
32340,0.034782004,82,0,0.033864409,15000.0,9,0,1,0,0.0,14508.672384330042,0,False,False,False,True,0,0.02,2.0
87696,0.185800546,36,0,0.358554489,1770.0,6,0,0,0,0.0,1302.8553615857215,0,True,False,False,False,0,0.01,1.0
122447,0.007367094,74,0,0.21763471,1428.0,5,0,0,0,0.0,1172.7655168437175,0,False,False,False,True,0,0.0,0.0
6388,0.666328271,59,0,5.0,5400.0,13,0,1,0,1.0,900.0,0,False,False,True,False,0,0.02,2.0
130684,0.507894488,32,0,0.814786585,2623.0,3,0,1,0,0.0,1445.349013311116,0,True,False,False,False,0,0.0,0.0
1300,0.623875225,41,0,0.037185126,2500.0,2,0,0,0,1.0,2410.370084694022,0,False,True,False,False,0,0.2,20.0
81312,0.399074949,50,1,0.42885092,7666.0,12,0,2,0,2.0,5365.150340526779,1,False,True,False,False,0,0.06,6.0
127080,0.9999999,53,98,0.0,5400.0,0,98,0,98,0.0,5400.0,1,False,False,True,False,1,0.47,47.0
33497,0.729426231,46,0,0.721946375,12083.0,11,0,3,0,3.0,7017.059401748211,0,False,True,False,False,0,0.13,13.0
38058,0.052610632,55,0,0.845507562,10116.0,15,0,7,0,3.0,5481.418883506044,0,False,False,True,False,0,0.09,9.0
85188,0.103088471,54,0,2.368179207,1740.0,16,0,2,0,0.0,516.5995907770593,0,False,False,True,False,0,0.03,3.0
5210,0.605333093,64,3,0.01928846,45000.0,11,1,1,0,0.0,44148.44449430929,1,False,False,False,True,0,0.35,35.0
142014,0.9999999,27,1,0.38969118,4500.0,6,1,1,1,1.0,3238.1294957920077,1,False,False,False,False,1,0.62,62.0
118432,0.131292,85,0,5.0,5400.0,10,0,1,0,0.0,900.0,0,False,False,False,True,0,0.0,0.0
73473,0.026596853,56,0,0.151324289,12383.0,8,0,1,0,0.0,10755.440598543648,0,False,False,True,False,0,0.0,0.0
106860,0.714527085,48,0,0.330515408,11000.0,7,0,1,0,2.0,8267.4728408707,0,False,True,False,False,0,0.0,0.0
11131,2.0,32,0,5.0,5400.0,10,0,3,0,0.0,900.0,0,True,False,False,False,0,0.21,21.0
145891,0.9999999,42,1,0.099218485,2942.0,1,1,0,0,4.0,2676.446984968598,1,False,True,False,False,0,0.58,58.0
101507,0.014380634,63,0,0.020652898,1500.0,7,0,0,0,0.0,1469.647519680094,0,False,False,False,True,0,0.0,0.0
123203,0.918854057,44,0,0.191400304,7883.0,5,0,0,0,0.0,6616.583841328279,0,False,True,False,False,0,0.04,4.0
88865,0.046443394,43,0,0.181948015,3500.0,14,0,0,0,0.0,2961.213146079018,0,False,True,False,False,0,0.02,2.0
80885,0.204679532,86,0,5.0,5400.0,1,0,0,0,0.0,900.0,0,False,False,False,True,0,0.01,1.0
120519,0.0,58,0,0.121286121,4913.0,8,0,1,0,1.0,4381.57568169882,0,False,False,True,False,0,0.0,0.0
73186,0.163690901,38,0,5.0,5400.0,7,0,2,0,0.0,900.0,0,True,False,False,False,0,0.02,2.0
105112,0.0,66,0,0.133868948,9583.0,10,0,2,0,0.0,8451.59400202571,0,False,False,False,True,0,0.01,1.0
29247,0.317689494,53,0,0.403382857,21874.0,14,0,4,0,1.0,15586.623344366533,0,False,False,True,False,0,0.02,2.0
124432,0.004417612,68,0,0.254006586,4554.0,13,0,1,0,1.0,3631.559874439128,0,False,False,False,True,0,0.02,2.0
102186,0.254421806,65,0,0.465842311,8167.0,12,0,4,0,0.0,5571.540634837085,0,False,False,False,True,0,0.02,2.0
42681,0.220042834,63,0,5.0,5400.0,13,1,0,0,0.0,900.0,0,False,False,False,True,0,0.15,15.0
146508,0.9999999,28,0,0.058439062,2600.0,2,2,0,0,2.0,2456.447511571526,0,False,False,False,False,0,0.59,59.0
121593,0.204124695,46,0,5.0,5400.0,5,0,0,0,2.0,900.0,0,False,True,False,False,0,0.0,0.0
72334,0.583488073,44,0,0.360341596,4800.0,8,0,1,0,1.0,3528.5254925043105,0,False,True,False,False,0,0.01,1.0
47605,0.015232826,49,0,0.294947331,5600.0,4,0,1,0,0.0,4324.50020625588,0,False,True,False,False,0,0.01,1.0
77845,0.238260411,50,0,0.3953162,11400.0,15,0,2,0,3.0,8170.191100769847,0,False,True,False,False,0,0.0,0.0
78154,0.038791721,38,0,5.0,107.0,7,0,3,0,2.0,17.833333333333332,0,True,False,False,False,0,0.04,4.0
74145,0.868502888,34,2,5.0,5400.0,9,0,0,0,0.0,900.0,1,True,False,False,False,0,0.41,41.0
89878,0.003518097,64,0,0.224905776,13000.0,7,0,1,0,0.0,10613.06122863772,0,False,False,False,True,0,0.0,0.0
28479,0.164069391,32,0,0.80109945,2000.0,5,0,1,0,0.0,1110.4328525556987,0,True,False,False,False,0,0.02,2.0
117742,0.065113797,90,1,0.198600467,3000.0,10,0,1,0,1.0,2502.9190982285845,1,False,False,False,True,0,0.15,15.0
63483,0.464535941,60,0,0.149136144,7234.0,5,0,0,0,1.0,6295.163578111245,0,False,False,True,False,0,0.02,2.0
25347,0.462443607,45,2,1.520516559,4800.0,12,0,3,0,0.0,1904.3715395801137,1,False,True,False,False,0,0.33,33.0
102258,0.097785282,59,0,5.0,5400.0,12,0,2,0,0.0,900.0,0,False,False,True,False,0,0.0,0.0
7864,0.016520489,41,0,0.303932495,6280.0,6,0,1,0,0.0,4816.20024355632,0,False,True,False,False,0,0.0,0.0
139855,0.018312889,45,0,0.400288236,5550.0,3,0,2,0,0.0,3963.469703818893,0,False,True,False,False,0,0.02,2.0
113794,0.126321841,63,0,0.496209182,16750.0,9,0,4,0,0.0,11194.958700634414,0,False,False,False,True,0,0.03,3.0
77662,0.011466448,71,0,0.202766477,6144.0,8,0,0,0,1.0,5108.223514280736,0,False,False,False,True,0,0.0,0.0
39294,0.342364007,53,2,0.650967199,3566.0,22,1,1,0,0.0,2159.9460014468764,1,False,False,True,False,0,0.32,32.0
145224,0.151093876,80,0,5.0,5400.0,7,0,1,0,1.0,900.0,0,False,False,False,True,0,0.0,0.0
16606,0.001160697,79,0,0.000612182,3266.0,6,0,0,0,0.0,3264.0018368275273,0,False,False,False,True,0,0.0,0.0
110414,0.100117136,50,1,0.208879185,12365.0,15,0,2,0,0.0,10228.482840491624,1,False,True,False,False,0,0.16,16.0
